claim_id,customer_id,policy_type,claim_type,claim_date,claim_amount,deductible,payout_amount,claim_status,processing_days,adjuster_id,province,claim_frequency_90d,amount_vs_avg_ratio,weekend_filing,late_reporting_days,documentation_score,witness_present,police_report_filed,previous_claims_count,policy_age_days
CLM0000030,CUS002506,Auto,Comprehensive,2024-11-18,1330.53,750,580.53,Denied,4,ADJ036,ON,0,1.1799232996816613,1,4,96,0,0,0,1727
CLM0000031,CUS000872,Home,Liability,2024-06-10,13611.16,1500,12111.16,Approved,5,ADJ044,ON,0,0.7292690905592316,0,0,77,0,0,0,4757
CLM0000032,CUS001603,Home,Weather,2024-12-31,3014.03,1500,1514.03,Approved,4,ADJ026,ON,0,1.1559136701039123,0,0,89,0,0,0,916
CLM0000033,CUS003230,Auto,Liability,2024-05-05,7091.83,750,6341.83,Approved,26,ADJ050,AB,3,2.602926708966213,1,10,62,0,1,6,2125
CLM0000034,CUS004574,Auto,Liability,2024-11-27,61551.82,500,61051.82,Approved,33,ADJ005,BC,2,1.2784212734389686,0,4,82,1,0,0,2164
CLM0000035,CUS001431,Auto,Liability,2025-04-17,22727.53,1000,21727.53,Denied,27,ADJ017,BC,0,0.8812510223107484,0,2,78,1,1,0,1235
CLM0000036,CUS003223,Home,Water Damage,2024-10-27,7642.86,1000,6642.86,Approved,11,ADJ006,ON,0,0.7876984883775792,0,4,95,1,1,2,1910
CLM0000037,CUS000870,Home,Water Damage,2024-04-07,5414.54,2000,3414.54,Under Review,19,ADJ026,QC,0,0.9940298949564472,0,4,85,1,1,1,251
CLM0000038,CUS001560,Home,Liability,2024-04-14,13328.66,1000,12328.66,Approved,18,ADJ025,QC,0,1.256708387106432,0,4,98,1,1,2,96
CLM0000039,CUS004108,Home,Water Damage,2025-08-28,4257.82,2000,2257.82,Approved,8,ADJ044,QC,2,0.8673849722754832,1,3,79,1,1,0,2455
CLM0000040,CUS001476,Home,Theft,2024-03-09,2855.23,1000,1855.23,Denied,49,ADJ025,QC,0,0.9759463621721217,1,3,91,1,0,0,986
CLM0000041,CUS003337,Auto,Comprehensive,2025-08-13,1583.4,1000,583.4,Approved,15,ADJ018,ON,0,0.7466235695112519,1,4,81,1,1,2,2720
CLM0000042,CUS002659,Auto,Collision,2024-07-24,1609.98,750,859.98,Approved,17,ADJ021,ON,0,0.78825371099788,0,4,93,1,1,3,186
CLM0000043,CUS001920,Home,Water Damage,2024-08-30,6580.4,1500,5080.4,Denied,9,ADJ026,NS,2,0.8266397412699302,1,0,90,1,1,1,4619
CLM0000044,CUS000704,Home,Water Damage,2025-11-03,10554.64,1000,9554.64,Approved,27,ADJ024,QC,1,1.271646814849324,1,2,91,1,0,0,5247
CLM0000045,CUS002311,Auto,Collision,2025-04-03,12836.24,500,12336.24,Approved,3,ADJ046,ON,2,0.8444204942278031,1,2,94,1,0,1,192
CLM0000046,CUS000735,Auto,Comprehensive,2025-06-27,3116.21,750,2366.21,Approved,3,ADJ010,QC,1,0.7157769479171384,0,1,88,1,0,2,1365
CLM0000047,CUS002796,Auto,Liability,2025-08-26,1467.06,1000,467.06,Approved,37,ADJ014,ON,0,0.7892703901179621,1,2,98,1,0,1,4411
CLM0000048,CUS003836,Auto,Collision,2025-04-08,11915.71,1000,10915.71,Denied,11,ADJ045,AB,0,1.015812105646092,0,0,79,0,1,1,2512
CLM0000049,CUS002100,Auto,Collision,2024-11-29,3735.26,500,3235.26,Approved,39,ADJ031,AB,0,0.9114140102945149,1,4,78,1,1,2,4514
CLM0000050,CUS000575,Home,Theft,2024-09-25,1444.41,1500,0.0,Approved,26,ADJ035,ON,1,1.1505374930177,0,2,80,1,1,0,1865
CLM0000051,CUS001733,Auto,Liability,2024-09-07,8862.09,1000,7862.09,Approved,3,ADJ011,ON,0,0.8811832826451076,0,3,93,0,1,0,2831
CLM0000052,CUS004500,Home,Vandalism,2024-06-19,1218.31,1500,0.0,Approved,17,ADJ010,QC,2,0.8014439692988328,1,4,97,0,1,1,2495
CLM0000053,CUS002803,Auto,Theft,2025-06-09,9962.01,750,9212.01,Under Review,6,ADJ029,MB,0,1.2888207848864979,0,0,83,1,0,1,448
CLM0000054,CUS000669,Auto,Collision,2025-09-01,7367.26,500,6867.26,Under Review,7,ADJ022,ON,2,1.0583159860680262,0,4,90,1,1,1,1990
CLM0000055,CUS002704,Home,Fire,2025-05-12,26511.47,2000,24511.47,Approved,7,ADJ018,QC,1,0.9023699414946738,0,4,79,0,1,1,2901
CLM0000056,CUS004912,Auto,Liability,2024-02-04,27308.1,1000,26308.1,Denied,12,ADJ048,ON,0,0.901183381050044,1,2,98,1,1,0,4547
CLM0000057,CUS004055,Auto,Comprehensive,2025-09-21,11432.12,750,10682.12,Approved,19,ADJ022,BC,0,2.1587213305377264,1,7,72,0,0,6,5059
CLM0000058,CUS002325,Auto,Comprehensive,2025-08-31,861.86,1000,0.0,Approved,12,ADJ001,ON,0,0.749741178474436,0,1,75,1,1,2,1836
CLM0000059,CUS003579,Home,Weather,2025-12-25,1658.99,1000,658.99,Approved,20,ADJ031,QC,0,1.2765845287093445,0,1,91,1,1,2,2419
CLM0000060,CUS002887,Auto,Collision,2024-12-03,2483.11,750,1733.11,Closed,4,ADJ006,QC,0,1.1643358833870905,1,1,94,1,0,1,2672
CLM0000061,CUS003276,Auto,Comprehensive,2025-03-06,3868.11,750,3118.11,Under Review,19,ADJ018,ON,1,2.431365966672633,0,12,60,0,0,4,4780
CLM0000062,CUS002902,Auto,Theft,2025-05-27,7218.31,1000,6218.31,Approved,12,ADJ044,QC,2,0.9730877445919203,1,0,82,1,1,3,2859
CLM0000063,CUS000837,Auto,Collision,2024-12-25,3137.07,1000,2137.07,Approved,8,ADJ027,ON,2,0.7396626171329425,1,3,98,0,0,1,152
CLM0000064,CUS003995,Home,Weather,2024-03-12,1105.19,1500,0.0,Approved,5,ADJ008,BC,0,1.139403731221972,0,2,82,1,1,2,2861
CLM0000065,CUS002109,Auto,Collision,2024-08-25,4268.08,1000,3268.08,Denied,7,ADJ041,SK,1,0.7084474553125617,0,1,80,0,1,2,4359
CLM0000066,CUS004606,Auto,Collision,2024-12-04,11732.81,750,10982.81,Approved,29,ADJ019,ON,0,0.8910162478866881,1,2,85,1,0,3,-359
CLM0000067,CUS002444,Home,Theft,2024-02-02,2145.77,1000,1145.77,Approved,15,ADJ043,ON,0,1.140338659088286,1,4,94,1,0,1,1882
CLM0000068,CUS002764,Auto,Theft,2025-06-26,17500.02,750,16750.02,Approved,4,ADJ018,BC,0,0.9887209448940141,1,3,88,0,1,0,1382
CLM0000069,CUS002014,Auto,Collision,2024-04-22,18147.36,500,17647.36,Closed,32,ADJ007,QC,1,0.9436971691059004,0,1,83,1,0,1,4828
CLM0000070,CUS003971,Home,Water Damage,2024-01-26,2701.24,2000,701.24,Closed,35,ADJ025,BC,2,1.3851989701385201,1,18,57,0,0,4,3614
CLM0000071,CUS000822,Auto,Collision,2025-11-04,2124.39,750,1374.39,Approved,3,ADJ029,NS,0,0.848122147918684,1,4,93,0,1,0,1837
CLM0000072,CUS001905,Auto,Theft,2025-12-25,13953.29,500,13453.29,Approved,15,ADJ001,MB,0,1.2652142611778934,0,2,75,0,1,3,1712
CLM0000073,CUS001253,Home,Fire,2026-01-03,12298.55,500,11798.55,Approved,34,ADJ005,MB,1,1.0858564144402352,0,3,82,1,0,1,2356
CLM0000074,CUS001343,Auto,Collision,2025-11-03,18265.01,500,17765.01,Approved,13,ADJ040,PE,0,0.9930393152294271,0,4,93,1,0,0,2597
CLM0000075,CUS000178,Home,Weather,2024-01-31,2936.46,1500,1436.46,Closed,30,ADJ006,BC,1,0.7761904354352854,0,4,98,1,1,0,1158
CLM0000076,CUS000543,Home,Fire,2025-02-26,11248.52,1000,10248.52,Approved,92,ADJ037,QC,1,1.2973818370020855,0,1,98,1,0,0,4653
CLM0000077,CUS004512,Auto,Collision,2025-03-31,7465.8,1000,6465.8,Approved,11,ADJ013,MB,2,1.064093553931418,1,1,82,1,1,1,1601
CLM0000078,CUS003499,Auto,Liability,2025-05-15,2641.53,1000,1641.53,Under Review,9,ADJ029,QC,0,1.1514972907190115,0,2,75,1,1,1,3125
CLM0000079,CUS004107,Auto,Collision,2025-03-27,8736.68,1000,7736.68,Approved,33,ADJ006,QC,0,0.8770766858834125,1,2,97,1,0,1,2791
CLM0000080,CUS000727,Auto,Collision,2025-03-19,3644.02,1000,2644.02,Under Review,33,ADJ027,QC,0,0.9362927017585596,1,1,75,1,1,0,4267
CLM0000081,CUS002685,Auto,Comprehensive,2024-08-25,1624.95,1000,624.95,Approved,17,ADJ006,AB,1,1.2913527045289008,0,1,99,0,1,0,-177
CLM0000082,CUS003982,Home,Liability,2025-02-26,38344.54,2000,36344.54,Under Review,9,ADJ033,QC,0,1.0553347160628117,1,3,77,1,1,1,1917
CLM0000083,CUS001833,Auto,Comprehensive,2024-08-17,1565.01,750,815.01,Approved,37,ADJ050,BC,0,0.7367785043705475,0,2,97,0,0,1,366
CLM0000084,CUS003597,Auto,Collision,2024-12-13,12268.86,750,11518.86,Approved,28,ADJ014,ON,1,0.9929525305793315,0,2,75,0,0,3,213
CLM0000085,CUS000391,Auto,Collision,2026-01-08,854.1,1000,0.0,Approved,15,ADJ009,ON,5,1.848413022386374,1,11,63,1,0,6,2791
CLM0000086,CUS003801,Home,Water Damage,2024-05-29,4189.17,2000,2189.17,Under Review,12,ADJ026,ON,2,0.7299830370656974,0,1,77,1,1,2,4409
CLM0000087,CUS003527,Auto,Liability,2024-10-05,12490.33,500,11990.33,Closed,7,ADJ001,BC,0,1.2441147002108668,0,0,75,1,0,3,1877
CLM0000088,CUS004235,Home,Theft,2025-05-21,2036.57,1500,536.57,Closed,4,ADJ042,AB,1,1.2205377729431874,1,0,98,1,0,1,1787
CLM0000089,CUS001407,Auto,Collision,2025-11-26,5756.26,750,5006.26,Approved,7,ADJ044,AB,0,0.9528661671509391,0,4,88,0,1,1,4010
CLM0000090,CUS001923,Auto,Liability,2024-10-01,4963.81,750,4213.81,Approved,12,ADJ043,ON,1,1.145200303492066,1,4,77,1,1,0,4671
CLM0000091,CUS001211,Auto,Comprehensive,2025-08-12,2234.58,1000,1234.58,Approved,30,ADJ048,PE,3,2.347076248333683,1,4,56,0,0,9,3999
CLM0000092,CUS004927,Home,Theft,2025-02-23,6549.6,2000,4549.6,Denied,3,ADJ024,ON,1,0.9547441415473624,0,1,82,1,1,2,4211
CLM0000093,CUS000189,Auto,Collision,2024-08-06,20139.56,750,19389.56,Approved,7,ADJ033,ON,1,0.9589354427026502,0,3,90,1,1,0,3193
CLM0000094,CUS001810,Auto,Liability,2025-06-23,10512.92,750,9762.92,Denied,24,ADJ004,ON,1,0.8190181637440508,0,0,95,1,0,0,2849
CLM0000095,CUS001165,Auto,Collision,2024-05-19,15382.14,1000,14382.14,Closed,17,ADJ025,AB,1,1.1060864789716738,0,1,79,1,1,1,757
CLM0000096,CUS002243,Auto,Liability,2024-03-12,8488.63,750,7738.63,Approved,39,ADJ031,NB,1,1.0463884158738999,0,0,76,1,0,1,3064
CLM0000097,CUS002315,Auto,Collision,2024-12-25,2725.87,750,1975.87,Approved,8,ADJ017,PE,0,1.200342370517335,1,4,89,1,0,0,4732
CLM0000098,CUS002140,Auto,Comprehensive,2025-09-20,727.5,750,0.0,Approved,6,ADJ033,AB,0,1.2874894424491643,1,1,84,0,0,3,2547
CLM0000099,CUS004620,Home,Theft,2025-05-04,359.96,1500,0.0,Closed,10,ADJ003,MB,0,0.8618979550250022,0,1,97,0,1,2,4025
CLM0000100,CUS004662,Auto,Collision,2024-11-29,4166.76,750,3416.76,Approved,5,ADJ039,BC,1,0.9669968871411512,0,1,87,1,0,0,1418
CLM0000101,CUS004177,Auto,Collision,2024-12-14,4039.62,1000,3039.62,Approved,7,ADJ030,PE,1,1.1898492304487638,0,2,83,0,0,1,2350
CLM0000102,CUS002380,Home,Weather,2024-06-22,7848.36,1000,6848.36,Approved,26,ADJ017,ON,0,1.048836479082904,1,1,89,1,0,2,2351
CLM0000103,CUS000863,Home,Theft,2025-08-31,4194.27,1500,2694.27,Approved,52,ADJ023,BC,0,0.8324885845042075,1,3,78,1,1,1,2160
CLM0000104,CUS004715,Auto,Liability,2024-02-02,3744.65,750,2994.65,Approved,10,ADJ013,QC,0,1.212950770888337,0,0,90,0,1,1,597
CLM0000105,CUS001832,Auto,Collision,2025-03-17,9810.05,1000,8810.05,Approved,5,ADJ007,ON,1,0.7283118490373558,0,0,88,1,0,0,4502
CLM0000106,CUS001727,Auto,Comprehensive,2025-08-29,4215.82,1000,3215.82,Under Review,5,ADJ026,ON,0,1.0942272498125454,0,4,98,1,1,2,2069
CLM0000107,CUS003305,Home,Theft,2024-07-06,2162.7,2000,162.7,Approved,17,ADJ033,QC,0,0.7191382529591679,1,3,85,1,1,0,12
CLM0000108,CUS003782,Auto,Collision,2024-06-26,3022.38,500,2522.38,Denied,7,ADJ030,AB,0,0.8886709160382371,0,2,81,1,1,1,2111
CLM0000109,CUS001820,Auto,Theft,2024-01-28,12010.25,1000,11010.25,Under Review,8,ADJ009,QC,0,0.7230507365174712,0,0,77,1,1,1,3057
CLM0000110,CUS004716,Auto,Comprehensive,2024-10-21,7355.16,750,6605.16,Denied,13,ADJ016,QC,1,0.8574619382609845,0,2,96,1,1,0,219
CLM0000111,CUS002768,Auto,Comprehensive,2024-05-02,669.55,1000,0.0,Approved,44,ADJ018,BC,0,0.8615336892390235,0,0,77,1,0,0,4808
CLM0000112,CUS001922,Auto,Theft,2025-07-23,53602.84,750,52852.84,Denied,33,ADJ027,AB,0,0.7455266736903933,0,3,85,0,1,0,3007
CLM0000113,CUS001787,Home,Water Damage,2025-06-06,3445.77,2000,1445.77,Approved,5,ADJ029,ON,1,1.0032206096922198,0,2,77,1,1,1,998
CLM0000114,CUS001225,Home,Water Damage,2025-11-21,9533.77,500,9033.77,Approved,7,ADJ043,AB,1,0.972142611653803,1,4,91,0,1,2,1428
CLM0000115,CUS001642,Auto,Collision,2025-06-29,9540.11,1000,8540.11,Closed,4,ADJ024,ON,2,1.2068576407400409,0,0,90,1,0,0,1774
CLM0000116,CUS002039,Auto,Theft,2025-11-26,26108.49,750,25358.49,Under Review,15,ADJ038,AB,0,1.1714132992046737,0,1,85,0,0,1,1333
CLM0000117,CUS001139,Home,Water Damage,2024-11-20,19497.51,1500,17997.51,Under Review,7,ADJ036,ON,2,0.7741356045159413,1,4,97,1,1,3,3901
CLM0000118,CUS004856,Home,Liability,2025-03-14,8793.84,2000,6793.84,Approved,28,ADJ025,MB,0,0.9935705015318361,0,1,83,1,1,2,369
CLM0000119,CUS002883,Home,Liability,2024-05-25,2489.28,1500,989.28,Closed,12,ADJ023,QC,0,1.1252866556051824,0,2,84,0,1,2,4140
CLM0000120,CUS003569,Home,Theft,2024-11-15,6624.47,2000,4624.47,Approved,19,ADJ036,QC,2,0.9461649275027766,0,3,86,0,0,0,1786
CLM0000121,CUS004074,Auto,Comprehensive,2025-01-29,6730.56,750,5980.56,Under Review,46,ADJ021,ON,0,0.9825851779605528,0,2,84,0,1,0,4434
CLM0000122,CUS004332,Home,Liability,2024-06-15,8554.84,1500,7054.84,Approved,16,ADJ023,ON,0,1.0048291300820429,1,2,89,1,0,0,-255
CLM0000123,CUS003591,Auto,Collision,2025-12-11,2664.32,1000,1664.32,Approved,41,ADJ013,BC,0,1.0583219693512602,0,0,99,1,1,1,2395
CLM0000124,CUS000704,Home,Liability,2024-09-23,1264.27,1000,264.27,Approved,7,ADJ014,QC,1,1.230595052478094,0,4,96,1,0,0,4841
CLM0000125,CUS003583,Auto,Collision,2024-06-23,3117.88,1000,2117.88,Approved,21,ADJ043,QC,0,1.2391816011302026,0,12,57,1,0,5,2941
CLM0000126,CUS001591,Auto,Collision,2025-03-02,3603.43,1000,2603.43,Closed,4,ADJ026,AB,1,0.7924916407551705,0,2,83,1,1,1,4981
CLM0000127,CUS004854,Auto,Liability,2025-01-30,43202.7,1000,42202.7,Approved,6,ADJ031,ON,0,1.1083057402782008,0,0,87,1,1,1,343
CLM0000128,CUS003610,Home,Water Damage,2025-01-20,18859.73,1500,17359.73,Approved,12,ADJ043,BC,0,1.0690693649040104,0,2,97,1,0,1,2472
CLM0000129,CUS004747,Auto,Comprehensive,2024-03-26,1783.04,500,1283.04,Under Review,41,ADJ048,ON,0,0.7585834809281237,1,2,91,1,1,0,-200
CLM0000130,CUS004505,Auto,Vandalism,2024-09-25,1285.78,500,785.78,Approved,33,ADJ030,QC,0,1.1207611476650305,0,2,75,1,1,2,-133
CLM0000131,CUS001083,Auto,Collision,2024-05-11,8533.03,500,8033.03,Approved,24,ADJ039,QC,1,2.055885333694443,0,11,62,0,0,6,4141
CLM0000132,CUS003170,Auto,Liability,2025-10-03,10455.33,1000,9455.33,Denied,42,ADJ026,BC,0,1.0178110041901678,1,4,93,1,0,0,3280
CLM0000133,CUS000329,Home,Fire,2025-06-10,60182.82,2000,58182.82,Approved,6,ADJ015,ON,0,0.8667386404300073,0,0,77,1,0,0,4874
CLM0000134,CUS000427,Home,Weather,2024-09-12,9798.11,2000,7798.11,Approved,10,ADJ032,ON,1,1.2843986398099687,1,3,83,0,1,2,1327
CLM0000135,CUS003726,Auto,Comprehensive,2024-07-10,3068.4,750,2318.4,Approved,33,ADJ031,AB,0,1.031618809790885,0,3,78,1,1,0,3042
CLM0000136,CUS002262,Auto,Comprehensive,2024-03-09,1822.33,500,1322.33,Approved,6,ADJ045,ON,1,0.9286749800665237,0,0,99,1,1,0,-206
CLM0000137,CUS000940,Home,Water Damage,2024-07-14,6407.9,2000,4407.9,Approved,29,ADJ004,NS,1,0.7028138100152794,0,2,78,0,0,1,2431
CLM0000138,CUS000586,Home,Theft,2024-03-24,4237.81,1500,2737.81,Denied,46,ADJ019,QC,0,0.95266233699148,1,3,96,1,1,0,4478
CLM0000139,CUS002586,Auto,Liability,2024-07-04,7110.9,500,6610.9,Approved,31,ADJ004,MB,2,0.7110507928691218,0,4,77,1,1,1,1187
CLM0000140,CUS003614,Auto,Theft,2025-01-18,10008.32,750,9258.32,Approved,4,ADJ003,NS,2,1.1909830265204575,0,3,85,1,1,2,3553
CLM0000141,CUS000812,Home,Weather,2024-12-29,10322.74,1500,8822.74,Approved,15,ADJ036,QC,0,0.9514538781362627,0,3,86,1,0,0,4063
CLM0000142,CUS001998,Auto,Comprehensive,2025-06-01,738.44,750,0.0,Denied,23,ADJ021,ON,0,0.8441209155123699,1,3,97,0,1,0,-36
CLM0000143,CUS004458,Auto,Liability,2024-11-23,944.24,750,194.24,Approved,9,ADJ034,BC,0,0.842517204000961,0,1,81,0,0,1,3466
CLM0000144,CUS004857,Home,Weather,2024-05-07,14501.13,1500,13001.13,Approved,13,ADJ011,AB,1,0.7601066492479287,1,3,87,0,1,2,2555
CLM0000145,CUS003833,Home,Water Damage,2025-07-23,3714.16,2000,1714.16,Approved,12,ADJ023,ON,0,0.833789004686738,1,0,86,1,1,1,2710
CLM0000146,CUS002544,Auto,Theft,2025-10-16,10503.51,750,9753.51,Approved,56,ADJ031,SK,1,0.8361996152790302,1,2,94,1,0,3,1617
CLM0000147,CUS002918,Auto,Collision,2025-12-01,2885.27,750,2135.27,Denied,28,ADJ019,NS,7,2.0697955910156205,1,10,51,1,1,6,4544
CLM0000148,CUS004603,Auto,Collision,2024-08-19,6972.77,500,6472.77,Denied,14,ADJ036,AB,1,0.9305959177558079,0,0,93,1,1,0,3014
CLM0000149,CUS003186,Home,Fire,2025-09-17,428466.41,1500,426966.41,Denied,55,ADJ021,QC,0,1.0576161271175206,0,0,76,1,0,1,281
CLM0000150,CUS002835,Auto,Comprehensive,2024-10-05,428.62,1000,0.0,Under Review,12,ADJ040,QC,1,1.0931977503345738,0,4,91,0,0,0,3569
CLM0000151,CUS002866,Home,Fire,2025-03-21,14854.16,1500,13354.16,Approved,32,ADJ050,ON,0,2.9246401715437225,0,10,54,0,1,7,3299
CLM0000152,CUS004011,Auto,Collision,2024-12-05,1827.94,500,1327.94,Approved,7,ADJ009,QC,0,0.795220181910695,0,1,95,1,1,3,3670
CLM0000153,CUS004771,Auto,Theft,2025-12-08,13995.03,750,13245.03,Under Review,4,ADJ027,ON,1,1.0557106168352282,0,2,94,1,1,2,4120
CLM0000154,CUS001206,Home,Water Damage,2024-11-14,5675.31,1500,4175.31,Closed,37,ADJ046,QC,1,0.974945309297962,1,2,93,0,0,0,1475
CLM0000155,CUS001036,Auto,Collision,2024-08-31,6111.37,750,5361.37,Denied,15,ADJ018,ON,0,1.0949428926347458,1,1,96,0,0,2,2374
CLM0000156,CUS000480,Auto,Collision,2024-02-05,3065.08,500,2565.08,Approved,26,ADJ028,MB,0,0.7668762681245743,1,4,96,0,0,3,972
CLM0000157,CUS004933,Auto,Collision,2025-02-15,2923.2,750,2173.2,Under Review,29,ADJ010,BC,0,0.8748029030280238,0,2,98,1,0,0,4666
CLM0000158,CUS000168,Auto,Collision,2025-05-25,9124.81,1000,8124.81,Denied,14,ADJ023,ON,1,1.1004753709021782,0,2,81,0,1,3,3884
CLM0000159,CUS000688,Auto,Collision,2024-11-30,5444.41,500,4944.41,Closed,28,ADJ037,ON,0,1.2256450492631232,0,4,95,1,0,0,1486
CLM0000160,CUS001337,Auto,Collision,2024-07-11,6633.26,750,5883.26,Approved,4,ADJ006,ON,0,0.8812195819746081,0,4,97,1,0,0,2890
CLM0000161,CUS001378,Auto,Liability,2024-02-16,3230.79,1000,2230.79,Approved,35,ADJ020,ON,0,1.0092357828359482,0,2,77,0,1,2,721
CLM0000162,CUS004355,Auto,Collision,2024-02-08,2422.74,250,2172.74,Approved,4,ADJ007,NS,1,1.0112631139870918,0,4,88,0,1,0,1125
CLM0000163,CUS002445,Auto,Collision,2024-01-16,16431.64,1000,15431.64,Closed,17,ADJ050,NS,1,0.9000731969633448,0,2,80,1,0,0,-238
CLM0000164,CUS002562,Auto,Collision,2024-09-12,16771.15,750,16021.15,Approved,14,ADJ028,QC,0,0.9330218678536655,1,3,97,0,0,0,2086
CLM0000165,CUS003481,Auto,Theft,2024-10-17,10819.69,750,10069.69,Approved,3,ADJ007,SK,0,1.2417419419916724,1,0,82,1,1,1,4994
CLM0000166,CUS004638,Home,Water Damage,2024-08-17,4182.53,2000,2182.53,Approved,3,ADJ012,MB,2,0.8790118644889358,1,3,97,0,0,3,4095
CLM0000167,CUS004506,Auto,Comprehensive,2024-08-07,2113.5,500,1613.5,Approved,10,ADJ030,AB,1,0.8539381117369723,0,1,77,1,0,2,2450
CLM0000168,CUS002614,Auto,Theft,2024-07-09,16908.77,750,16158.77,Closed,6,ADJ046,QC,0,0.8508881170082665,0,0,92,1,0,1,3826
