claim_id,anomaly_score,ml_fraud_probability,risk_score,risk_category,flagged_for_review,requires_investigation
CLM0000063,44.30262940886309,0.0,17.7,Low,False,False
CLM0000064,16.95259770100567,0.0,6.8,Low,False,False
CLM0000065,19.817190065231895,0.0,7.9,Low,False,False
CLM0000066,36.434980953660336,0.0,14.6,Low,False,False
CLM0000067,16.16556070802424,0.0,6.5,Low,False,False
CLM0000068,26.445572933789485,0.0,10.6,Low,False,False
CLM0000069,16.77849781769084,0.0,6.7,Low,False,False
CLM0000070,71.4888099709445,100.0,88.6,Critical,True,True
CLM0000071,18.838076304678474,0.0,7.5,Low,False,False
CLM0000072,17.49388593273157,0.6666666666666667,7.4,Low,False,False
CLM0000073,19.450075346090657,0.0,7.8,Low,False,False
CLM0000074,14.06069098183117,0.0,5.6,Low,False,False
CLM0000075,23.033464543612236,0.0,9.2,Low,False,False
CLM0000076,36.72053321619922,0.5026604332505019,15.0,Low,False,False
CLM0000077,17.905377859014592,0.0,7.2,Low,False,False
CLM0000078,5.588957044399101,0.0,2.2,Low,False,False
CLM0000079,15.464317466006705,0.0,6.2,Low,False,False
CLM0000080,16.897637693732428,0.0,6.8,Low,False,False
CLM0000081,34.536405071225765,0.0,13.8,Low,False,False
CLM0000082,37.32026225230859,0.0,14.9,Low,False,False
CLM0000083,24.463884710547546,0.0,9.8,Low,False,False
CLM0000084,21.997516332979984,0.6571374034593135,9.2,Low,False,False
CLM0000085,69.84789550127658,100.0,87.9,Critical,True,True
CLM0000086,21.872526821221918,0.0,8.7,Low,False,False
CLM0000087,21.50280606259285,0.5916011929841954,9.0,Low,False,False
CLM0000088,30.586048592621175,0.0,12.2,Low,False,False
CLM0000089,14.045277515414478,0.0,5.6,Low,False,False
CLM0000090,13.9260108056102,0.0,5.6,Low,False,False
CLM0000091,65.92171360635193,100.0,86.4,Critical,True,True
CLM0000092,13.515306305589558,0.0,5.4,Low,False,False
CLM0000093,13.237303176274452,0.0,5.3,Low,False,False
CLM0000094,13.590233917960248,0.0,5.4,Low,False,False
CLM0000095,13.29066869193728,0.0,5.3,Low,False,False
CLM0000096,16.515825687823003,0.0,6.6,Low,False,False
CLM0000097,15.808865202548416,0.0,6.3,Low,False,False
CLM0000098,26.161148263185787,0.6413039584452803,10.8,Low,False,False
CLM0000099,19.40696521527794,0.0,7.8,Low,False,False
CLM0000100,12.53146847955331,0.0,5.0,Low,False,False
CLM0000101,14.000438689986183,0.0,5.6,Low,False,False
CLM0000102,20.387890096777074,0.0,8.2,Low,False,False
CLM0000103,23.21978517585591,0.0,9.3,Low,False,False
CLM0000104,12.992771811587156,0.0,5.2,Low,False,False
CLM0000105,16.28696561827152,0.0,6.5,Low,False,False
CLM0000106,7.134191326631056,0.0,2.9,Low,False,False
CLM0000107,36.59575463878192,0.0,14.6,Low,False,False
CLM0000108,6.587711866558344,0.0,2.6,Low,False,False
CLM0000109,14.415832105892168,0.0,5.8,Low,False,False
CLM0000110,7.5294828559749565,0.0,3.0,Low,False,False
CLM0000111,20.28114465802091,0.0,8.1,Low,False,False
CLM0000112,42.02432199329769,0.0,16.8,Low,False,False
CLM0000113,10.485064990795202,0.0,4.2,Low,False,False
CLM0000114,28.064062515700748,0.0,11.2,Low,False,False
CLM0000115,24.747117628803473,0.0,9.9,Low,False,False
CLM0000116,38.45745431473691,0.0,15.4,Low,False,False
CLM0000117,35.814399929232586,0.0,14.3,Low,False,False
CLM0000118,14.07848188808245,0.0,5.6,Low,False,False
CLM0000119,14.224618099039931,0.0,5.7,Low,False,False
CLM0000120,27.871735456156223,0.0,11.1,Low,False,False
CLM0000121,10.991254853025477,0.0,4.4,Low,False,False
CLM0000122,35.32076506120935,0.0,14.1,Low,False,False
CLM0000123,12.964920152007164,0.0,5.2,Low,False,False
CLM0000124,21.62607802572384,0.0,8.7,Low,False,False
CLM0000125,53.69630032941208,99.25826785965087,81.0,Critical,True,False
CLM0000126,11.638925086054709,0.0,4.7,Low,False,False
CLM0000127,33.779923870036335,0.0,13.5,Low,False,False
CLM0000128,19.768744727117017,0.0,7.9,Low,False,False
CLM0000129,35.42421316762569,0.0,14.2,Low,False,False
CLM0000130,30.65330505148386,0.0,12.3,Low,False,False
CLM0000131,60.391258749307816,100.0,84.2,Critical,True,False
CLM0000132,23.329918000034045,0.0,9.3,Low,False,False
CLM0000133,44.665300300687896,0.0,17.9,Low,False,False
CLM0000134,24.0698928681485,0.0,9.6,Low,False,False
CLM0000135,7.894987408046383,0.0,3.2,Low,False,False
CLM0000136,26.589126683896268,0.0,10.6,Low,False,False
CLM0000137,24.462975839253087,0.0,9.8,Low,False,False
CLM0000138,23.98507321545663,0.0,9.6,Low,False,False
CLM0000139,19.32787495086622,0.0,7.7,Low,False,False
CLM0000140,18.3028237210606,0.0,7.3,Low,False,False
CLM0000141,19.845067338419163,0.0,7.9,Low,False,False
CLM0000142,36.96196724057796,0.0,14.8,Low,False,False
CLM0000143,16.752603298020595,0.0,6.7,Low,False,False
CLM0000144,29.592173380350783,0.0,11.8,Low,False,False
CLM0000145,17.56393916817789,0.0,7.0,Low,False,False
CLM0000146,32.00796508189164,0.0,12.8,Low,False,False
CLM0000147,77.22094300775024,100.0,90.9,Critical,True,True
CLM0000148,10.714256344276652,0.0,4.3,Low,False,False
CLM0000149,64.55930301231871,0.0,25.8,Medium,False,False
CLM0000150,17.39640653809227,0.0,7.0,Low,False,False
CLM0000151,72.04182234189159,100.0,88.8,Critical,True,True
CLM0000152,12.914963994130101,0.0,5.2,Low,False,False
CLM0000153,14.155894041249129,0.0,5.7,Low,False,False
CLM0000154,27.47855671794267,0.0,11.0,Low,False,False
CLM0000155,19.29815152975698,0.0,7.7,Low,False,False
CLM0000156,27.8721644295582,0.0,11.1,Low,False,False
CLM0000157,15.175759481801043,0.0,6.1,Low,False,False
CLM0000158,11.420494523723823,0.0,4.6,Low,False,False
CLM0000159,11.340312705243205,0.0,4.5,Low,False,False
CLM0000160,12.280627108774445,0.0,4.9,Low,False,False
CLM0000161,10.77381927427804,0.0,4.3,Low,False,False
CLM0000162,10.978935640642574,0.0,4.4,Low,False,False
CLM0000163,32.32606598935758,0.0,12.9,Low,False,False
CLM0000164,20.96427036574201,0.0,8.4,Low,False,False
CLM0000165,29.793862855973117,0.0,11.9,Low,False,False
CLM0000166,41.18822981777021,0.0,16.5,Low,False,False
CLM0000167,12.945880191230131,0.0,5.2,Low,False,False
CLM0000168,18.020443335156244,0.0,7.2,Low,False,False
CLM0000169,29.208729648672495,0.0,11.7,Low,False,False
CLM0000170,26.77076296140265,0.0,10.7,Low,False,False
CLM0000171,7.059779943161992,0.0,2.8,Low,False,False
CLM0000172,13.303718508690032,0.0,5.3,Low,False,False
CLM0000173,22.026980468145595,0.0,8.8,Low,False,False
CLM0000174,24.981322189140066,0.0,10.0,Low,False,False
CLM0000175,19.21157506068354,0.0,7.7,Low,False,False
CLM0000176,16.610781448789748,0.0,6.6,Low,False,False
CLM0000177,7.5770350057319575,0.0,3.0,Low,False,False
CLM0000178,10.578544693221382,0.0,4.2,Low,False,False
CLM0000179,12.433881234518951,0.0,5.0,Low,False,False
CLM0000180,8.69271144179551,0.0,3.5,Low,False,False
CLM0000181,20.165211862261668,0.0,8.1,Low,False,False
CLM0000182,64.02915748719667,100.0,85.6,Critical,True,True
CLM0000183,9.843528406890789,0.0,3.9,Low,False,False
CLM0000184,45.893667465925056,0.0,18.4,Low,False,False
CLM0000185,7.113823714766243,0.0,2.8,Low,False,False
CLM0000186,75.15089046587394,99.95015163916001,90.0,Critical,True,True
CLM0000187,58.66819367382736,0.0,23.5,Low,False,False
CLM0000188,66.35671413631879,0.0,26.5,Medium,False,False
CLM0000189,12.691728444078265,0.0,5.1,Low,False,False
CLM0000190,13.022517820086,0.0,5.2,Low,False,False
CLM0000191,76.35576658560616,99.96536114055826,90.5,Critical,True,True
CLM0000192,11.583999078836005,0.0,4.6,Low,False,False
CLM0000193,20.52145677549946,0.0,8.2,Low,False,False
CLM0000194,26.805857342087535,0.0,10.7,Low,False,False
CLM0000195,18.041704633689783,0.0,7.2,Low,False,False
CLM0000196,40.31249378172171,0.0,16.1,Low,False,False
CLM0000197,12.637443133724569,0.0,5.1,Low,False,False
CLM0000198,8.964513109787042,0.0,3.6,Low,False,False
CLM0000199,16.63336347195309,0.0,6.7,Low,False,False
CLM0000200,14.424137100910329,0.0,5.8,Low,False,False
CLM0000201,15.082034831065616,0.0,6.0,Low,False,False
CLM0000202,62.64135517725652,0.0,25.1,Medium,False,False
CLM0000203,28.976085765685067,0.0,11.6,Low,False,False
CLM0000204,23.3493109693943,0.0,9.3,Low,False,False
CLM0000205,11.001174023626758,0.0,4.4,Low,False,False
CLM0000206,12.538877603596232,0.0,5.0,Low,False,False
CLM0000207,66.88951009736364,100.0,86.8,Critical,True,True
CLM0000208,9.205823569169613,0.0,3.7,Low,False,False
CLM0000209,7.69352204492092,0.0,3.1,Low,False,False
CLM0000210,11.978776522209989,0.0,4.8,Low,False,False
CLM0000211,15.586959301916414,0.0,6.2,Low,False,False
CLM0000212,19.7072502440269,0.0,7.9,Low,False,False
CLM0000213,3.00945932672676,0.0,1.2,Low,False,False
CLM0000214,26.065756615336767,0.0,10.4,Low,False,False
CLM0000215,17.239466199633934,0.0,6.9,Low,False,False
CLM0000216,17.705351737634057,0.0,7.1,Low,False,False
CLM0000217,22.6045571066819,0.0,9.0,Low,False,False
CLM0000218,63.33544785062616,100.0,85.3,Critical,True,True
CLM0000219,12.7767553142348,0.0,5.1,Low,False,False
CLM0000220,46.97701187081034,0.0,18.8,Low,False,False
CLM0000221,23.399465212596482,0.0,9.4,Low,False,False
CLM0000222,52.4195989222624,100.0,81.0,Critical,True,False
CLM0000223,16.596200243688642,0.0,6.6,Low,False,False
CLM0000224,13.109126784764458,0.0,5.2,Low,False,False
CLM0000225,24.55528428839654,0.0,9.8,Low,False,False
CLM0000226,18.089656195704574,0.0,7.2,Low,False,False
CLM0000227,15.199749113889938,0.0,6.1,Low,False,False
CLM0000228,17.135622786202752,0.0,6.9,Low,False,False
CLM0000229,18.66251721751102,0.0,7.5,Low,False,False
CLM0000230,19.28641297261404,0.0,7.7,Low,False,False
CLM0000231,61.09878816015426,100.0,84.4,Critical,True,False
CLM0000232,24.237059060436973,0.5609239484634281,10.0,Low,False,False
CLM0000233,18.935276546155897,0.0,7.6,Low,False,False
CLM0000234,15.455339924007895,0.0,6.2,Low,False,False
CLM0000235,12.006158420299018,0.0,4.8,Low,False,False
CLM0000236,16.217886605793595,0.0,6.5,Low,False,False
CLM0000237,13.703733666085727,0.0,5.5,Low,False,False
CLM0000238,24.17736167674367,0.0,9.7,Low,False,False
CLM0000239,10.798792947955583,0.0,4.3,Low,False,False
CLM0000240,14.084175939812226,0.0,5.6,Low,False,False
CLM0000241,35.91145174066111,0.0,14.4,Low,False,False
CLM0000242,29.89905917669574,0.0,12.0,Low,False,False
CLM0000243,15.424221360440393,0.0,6.2,Low,False,False
CLM0000244,24.477151771078056,0.0,9.8,Low,False,False
CLM0000245,16.03822897340126,0.0,6.4,Low,False,False
CLM0000246,20.694963653457265,0.0,8.3,Low,False,False
CLM0000247,12.211528903683998,0.0,4.9,Low,False,False
CLM0000248,15.083575034677853,0.0,6.0,Low,False,False
CLM0000249,13.11421399645064,0.0,5.2,Low,False,False
CLM0000250,18.500290249364514,0.0,7.4,Low,False,False
CLM0000251,22.00239353406992,0.0,8.8,Low,False,False
CLM0000252,18.332258427621927,0.0,7.3,Low,False,False
CLM0000253,52.90737253228033,0.0,21.2,Low,False,False
CLM0000254,27.93860493844653,0.6666666666666667,11.6,Low,False,False
CLM0000255,19.81098373362219,0.0,7.9,Low,False,False
CLM0000256,65.16550353746887,99.92695286129818,86.0,Critical,True,True
CLM0000257,12.224325322719798,0.0,4.9,Low,False,False
CLM0000258,33.19292177041152,0.0,13.3,Low,False,False
CLM0000259,19.71576966136983,0.0,7.9,Low,False,False
CLM0000260,44.52626836191157,0.0,17.8,Low,False,False
CLM0000261,11.534093799967915,0.0,4.6,Low,False,False
CLM0000262,21.53770837441228,0.0,8.6,Low,False,False
CLM0000263,53.3111572936429,0.0,21.3,Low,False,False
CLM0000264,11.562840023683796,0.0,4.6,Low,False,False
CLM0000265,14.655461674325188,0.5916011929841954,6.2,Low,False,False
CLM0000266,14.536546745652778,0.0,5.8,Low,False,False
CLM0000267,28.618386179729114,0.0,11.4,Low,False,False
CLM0000268,13.612104945600201,0.0,5.4,Low,False,False
CLM0000269,13.404304102980335,0.0,5.4,Low,False,False
CLM0000270,19.31105138512368,0.0,7.7,Low,False,False
CLM0000271,14.327657195816778,0.0,5.7,Low,False,False
CLM0000272,16.279699467239674,0.0,6.5,Low,False,False
CLM0000273,20.931962097520117,0.0,8.4,Low,False,False
CLM0000274,34.878810739921306,0.0,14.0,Low,False,False
CLM0000275,81.10591945917321,100.0,92.4,Critical,True,True
CLM0000276,18.531858494040122,0.0,7.4,Low,False,False
CLM0000277,6.606681803929537,0.0,2.6,Low,False,False
CLM0000278,30.824833430245658,0.0,12.3,Low,False,False
CLM0000279,6.217831369836668,0.0,2.5,Low,False,False
CLM0000280,21.217364915251334,0.0,8.5,Low,False,False
CLM0000281,21.38706501123433,0.0,8.6,Low,False,False
CLM0000282,33.13293097803223,0.0,13.3,Low,False,False
CLM0000283,37.101515993279044,0.0,14.8,Low,False,False
CLM0000284,39.64860519008438,0.0,15.9,Low,False,False
CLM0000285,21.82933186110948,0.0,8.7,Low,False,False
CLM0000286,42.11208047527699,0.0,16.8,Low,False,False
CLM0000287,20.65635347587974,0.0,8.3,Low,False,False
CLM0000288,37.56578426637246,0.0,15.0,Low,False,False
CLM0000289,8.499131625057144,0.0,3.4,Low,False,False
CLM0000290,12.461483961431918,0.0,5.0,Low,False,False
CLM0000291,13.908547262330606,0.0,5.6,Low,False,False
CLM0000292,31.970145681552786,0.0,12.8,Low,False,False
CLM0000293,43.15892500646067,0.0,17.3,Low,False,False
CLM0000294,25.5979850652571,0.0,10.2,Low,False,False
CLM0000295,8.006632042861451,0.0,3.2,Low,False,False
CLM0000296,15.85874465905417,0.0,6.3,Low,False,False
CLM0000297,21.225146367230728,0.0,8.5,Low,False,False
CLM0000298,26.657245829752053,0.0,10.7,Low,False,False
CLM0000299,29.389012756802646,0.0,11.8,Low,False,False
CLM0000300,18.393987606715555,0.0,7.4,Low,False,False
CLM0000301,43.039615514901286,0.6301169281887746,17.6,Low,False,False
CLM0000302,46.94077093228266,0.0,18.8,Low,False,False
CLM0000303,31.634955322978143,0.0,12.7,Low,False,False
CLM0000304,6.953265232417127,0.0,2.8,Low,False,False
CLM0000305,80.86879103485187,100.0,92.3,Critical,True,True
CLM0000306,19.04361591468161,0.0,7.6,Low,False,False
CLM0000307,31.079370231205218,0.0,12.4,Low,False,False
CLM0000308,20.883000347507174,0.0,8.4,Low,False,False
CLM0000309,14.24488234474327,0.0,5.7,Low,False,False
CLM0000310,12.860155141613328,0.0,5.1,Low,False,False
CLM0000311,27.13962965317036,0.0,10.9,Low,False,False
CLM0000312,15.42079008061954,0.0,6.2,Low,False,False
CLM0000313,38.882908143885686,0.0,15.6,Low,False,False
CLM0000314,25.6099776733548,0.0,10.2,Low,False,False
CLM0000315,8.828294264506397,0.0,3.5,Low,False,False
CLM0000316,9.41308616510711,0.0,3.8,Low,False,False
CLM0000317,21.837459146042903,0.0,8.7,Low,False,False
CLM0000318,2.949717537368435,0.0,1.2,Low,False,False
CLM0000319,15.226234598406185,0.0,6.1,Low,False,False
CLM0000320,31.208740345599463,0.0,12.5,Low,False,False
CLM0000321,23.05230809624318,0.0,9.2,Low,False,False
CLM0000322,26.65461507458682,0.0,10.7,Low,False,False
CLM0000323,23.90611755261616,0.0,9.6,Low,False,False
CLM0000324,42.381716070819444,99.45283936532951,76.6,Critical,True,False
CLM0000325,15.291311578991474,0.0,6.1,Low,False,False
CLM0000326,47.85673841036841,0.0,19.1,Low,False,False
CLM0000327,39.27664556118727,0.0,15.7,Low,False,False
CLM0000328,32.046618460579225,0.0,12.8,Low,False,False
CLM0000329,23.645574727904794,0.0,9.5,Low,False,False
CLM0000330,38.10583471580892,0.6495410181052937,15.6,Low,False,False
CLM0000331,7.553277736805519,0.0,3.0,Low,False,False
CLM0000332,17.342753549545087,0.0,6.9,Low,False,False
CLM0000333,17.190077250083625,0.0,6.9,Low,False,False
CLM0000334,19.6257230157561,0.0,7.9,Low,False,False
CLM0000335,52.047898159885584,0.0,20.8,Low,False,False
CLM0000336,43.67836720373705,0.0,17.5,Low,False,False
CLM0000337,4.393886968339933,0.0,1.8,Low,False,False
CLM0000338,24.95525834173513,0.0,10.0,Low,False,False
CLM0000339,15.39901309619085,0.0,6.2,Low,False,False
CLM0000340,53.719502535870504,98.6215972222222,80.7,Critical,True,False
CLM0000341,28.49322031452828,0.0,11.4,Low,False,False
CLM0000342,71.54476623078752,100.0,88.6,Critical,True,True
CLM0000343,17.507652092250524,0.0,7.0,Low,False,False
CLM0000344,17.349682465475325,0.0,6.9,Low,False,False
CLM0000345,13.612451223044953,0.0,5.4,Low,False,False
CLM0000346,44.482578732770214,0.0,17.8,Low,False,False
CLM0000347,12.577979158194374,0.0,5.0,Low,False,False
CLM0000348,77.81660548920175,99.91556899860149,91.1,Critical,True,True
CLM0000349,13.683751470998107,0.0,5.5,Low,False,False
CLM0000350,16.013709409725084,0.0,6.4,Low,False,False
CLM0000351,10.271899784472149,0.0,4.1,Low,False,False
CLM0000352,42.181232974728054,0.3708721773358193,17.1,Low,False,False
CLM0000353,24.347593429872806,0.0,9.7,Low,False,False
CLM0000354,37.89152858534823,0.0,15.2,Low,False,False
CLM0000355,25.05057937701636,0.0,10.0,Low,False,False
CLM0000356,38.537645728053334,0.0,15.4,Low,False,False
CLM0000357,9.660581940481405,0.0,3.9,Low,False,False
CLM0000358,9.217972507800354,0.0,3.7,Low,False,False
CLM0000359,69.60257368797835,100.0,87.8,Critical,True,True
CLM0000360,46.935279195426105,0.0,18.8,Low,False,False
CLM0000361,31.753072322951326,0.0,12.7,Low,False,False
CLM0000362,23.35371817231818,0.0,9.3,Low,False,False
CLM0000363,9.868662991237576,0.0,3.9,Low,False,False
CLM0000364,33.58793086484074,0.0,13.4,Low,False,False
CLM0000365,15.900637599046652,0.0,6.4,Low,False,False
CLM0000366,12.036974950019808,0.0,4.8,Low,False,False
CLM0000367,39.58159686265401,0.0,15.8,Low,False,False
CLM0000368,19.10253217928719,0.0,7.6,Low,False,False
CLM0000369,8.88994342259698,0.0,3.6,Low,False,False
CLM0000370,12.282580779245944,0.0,4.9,Low,False,False
CLM0000371,9.018568985202647,0.0,3.6,Low,False,False
CLM0000372,81.14292681106538,100.0,92.5,Critical,True,True
CLM0000373,29.159803382278305,0.0,11.7,Low,False,False
CLM0000374,43.117500215280245,0.0,17.2,Low,False,False
CLM0000375,36.52375200618867,0.0,14.6,Low,False,False
CLM0000376,15.14820463787714,0.0,6.1,Low,False,False
CLM0000377,37.06191047159933,0.0,14.8,Low,False,False
CLM0000378,20.18275767710127,0.0,8.1,Low,False,False
CLM0000379,18.48037802265592,0.0,7.4,Low,False,False
CLM0000380,16.608202517848824,0.0,6.6,Low,False,False
CLM0000381,14.341527454834047,0.0,5.7,Low,False,False
CLM0000382,36.78560683501271,0.0,14.7,Low,False,False
CLM0000383,18.677018972317473,0.0,7.5,Low,False,False
CLM0000384,30.893347042040674,0.0,12.4,Low,False,False
CLM0000385,15.259631878232838,0.0,6.1,Low,False,False
CLM0000386,21.383097341461777,0.0,8.6,Low,False,False
CLM0000387,24.02500789469363,0.0,9.6,Low,False,False
CLM0000388,19.80663050856264,0.0,7.9,Low,False,False
CLM0000389,20.289239895839817,0.0,8.1,Low,False,False
CLM0000390,6.640433384654997,0.0,2.7,Low,False,False
CLM0000391,16.129006220497445,0.0,6.5,Low,False,False
CLM0000392,42.06379015041338,0.0,16.8,Low,False,False
CLM0000393,22.336265630159758,0.0,8.9,Low,False,False
CLM0000394,5.1368728627332105,0.0,2.1,Low,False,False
CLM0000395,17.013642165556377,0.0,6.8,Low,False,False
CLM0000396,25.596588271191013,0.0,10.2,Low,False,False
CLM0000397,28.034470728597572,0.0,11.2,Low,False,False
CLM0000398,78.30802400565263,100.0,91.3,Critical,True,True
CLM0000399,26.771289043619905,0.0,10.7,Low,False,False
CLM0000400,23.429020437005722,0.6359276757486413,9.8,Low,False,False
CLM0000401,7.9496765288340265,0.0,3.2,Low,False,False
CLM0000402,14.011722083752032,0.0,5.6,Low,False,False
CLM0000403,14.652557131276156,0.0,5.9,Low,False,False
CLM0000404,43.15462664853719,0.0,17.3,Low,False,False
CLM0000405,16.76270595932682,0.0,6.7,Low,False,False
CLM0000406,10.287352308122754,0.0,4.1,Low,False,False
CLM0000407,27.644590253393954,0.0,11.1,Low,False,False
CLM0000408,48.598550186453295,0.0,19.4,Low,False,False
CLM0000409,24.38995257018891,0.0,9.8,Low,False,False
CLM0000410,5.734032272055989,0.0,2.3,Low,False,False
CLM0000411,19.070064932984476,0.0,7.6,Low,False,False
CLM0000412,11.783920630343347,0.0,4.7,Low,False,False
CLM0000413,20.791443503742123,0.0,8.3,Low,False,False
CLM0000414,19.121934518952543,0.0,7.6,Low,False,False
CLM0000415,22.76767294586859,0.0,9.1,Low,False,False
CLM0000416,15.099376333683779,0.0,6.0,Low,False,False
CLM0000417,8.361853328078062,0.0,3.3,Low,False,False
CLM0000418,36.4767468101726,0.0,14.6,Low,False,False
CLM0000419,33.82845287042567,0.0,13.5,Low,False,False
CLM0000420,21.46915481345554,0.0,8.6,Low,False,False
CLM0000421,25.806479677367257,0.0,10.3,Low,False,False
CLM0000422,16.877985301548314,0.0,6.8,Low,False,False
CLM0000423,8.301497152496651,0.0,3.3,Low,False,False
CLM0000424,25.5845852887575,0.0,10.2,Low,False,False
CLM0000425,39.49921861655815,0.0,15.8,Low,False,False
CLM0000426,40.006150412807706,0.0,16.0,Low,False,False
CLM0000427,18.585448384503078,0.0,7.4,Low,False,False
CLM0000428,18.02299851608359,0.0,7.2,Low,False,False
CLM0000429,16.293896232787752,0.0,6.5,Low,False,False
CLM0000430,7.817545434647988,0.0,3.1,Low,False,False
CLM0000431,69.6461473826299,100.0,87.9,Critical,True,True
CLM0000432,13.082634531225724,0.0,5.2,Low,False,False
CLM0000433,8.498886641227166,0.0,3.4,Low,False,False
CLM0000434,10.594596417000002,0.0,4.2,Low,False,False
CLM0000435,29.813432744080938,0.0,11.9,Low,False,False
CLM0000436,39.93839056209367,0.0,16.0,Low,False,False
CLM0000437,7.307191788887357,0.0,2.9,Low,False,False
CLM0000438,11.922983314213775,0.0,4.8,Low,False,False
CLM0000439,13.888884929996593,0.0,5.6,Low,False,False
CLM0000440,18.89184233549308,0.0,7.6,Low,False,False
CLM0000441,14.51645672244214,0.0,5.8,Low,False,False
CLM0000442,7.412644629868071,0.0,3.0,Low,False,False
CLM0000443,40.52877269103481,0.0,16.2,Low,False,False
CLM0000444,14.642437156972388,0.0,5.9,Low,False,False
CLM0000445,13.46107651875198,0.0,5.4,Low,False,False
CLM0000446,11.379889744079009,0.0,4.6,Low,False,False
CLM0000447,12.282962879210658,0.0,4.9,Low,False,False
CLM0000448,32.224075782408946,0.6301169281887746,13.3,Low,False,False
CLM0000449,14.273295188133828,0.0,5.7,Low,False,False
CLM0000450,15.972688662866974,0.0,6.4,Low,False,False
CLM0000451,34.558659411822525,0.0,13.8,Low,False,False
CLM0000452,18.641943335589993,0.0,7.5,Low,False,False
CLM0000453,15.993643511018995,0.0,6.4,Low,False,False
CLM0000454,24.04112365346327,0.0,9.6,Low,False,False
CLM0000455,9.698885094423005,0.0,3.9,Low,False,False
CLM0000456,62.18960545916765,100.0,84.9,Critical,True,False
CLM0000457,14.73876242346267,0.37087217733581945,6.1,Low,False,False
CLM0000458,22.308246954086243,0.3708721773358193,9.1,Low,False,False
